T_e,Volume,E_F,N_Ef,gamma,C_e,v_F,tau_e,k_e,k_lat,lambda,Log10_Ge,Composition,Al,Cr,Fe,Co,Ni,Mn,Cu,logT,T_norm,Ce_over_T,T_tau,k_ratio
300,69.43,21.949,1.696,0.538,15.660156,1.384,19.012,0.070704,0.872738,0.6394,-13.433612,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,2.4771212547196626,300,0.05220052,5703.6,0.08101391137556589
400,69.48,21.949,1.696,0.54,20.865004,1.426,15.262,0.084597,0.651157,0.5974,-17.148967,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,2.6020599913279625,400,0.052162509999999995,6104.8,0.12991777725221837
500,69.53,21.949,1.695,0.541,26.061967,1.433,12.729,0.091802,0.519661,0.573,-20.852242,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,2.6989700043360187,500,0.052123934,6364.5,0.17665713482994713
600,69.58,21.95,1.695,0.542,31.251177,1.445,10.899,0.097741,0.43271,0.5577,-24.548635,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,2.7781512503836434,600,0.052085295,6539.4,0.22588055307121843
700,69.63,21.95,1.695,0.542,36.432721,1.454,9.517,0.102033,0.371064,0.5474,-28.240922,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,2.845098040014257,700,0.052046744285714285,6661.9,0.27497338741190896
800,69.69,21.95,1.695,0.541,41.606662,1.463,8.44,0.105649,0.325177,0.5401,-31.930598,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,2.9030899869919438,800,0.0520083275,6752.0,0.32489590316688094
900,69.74,21.95,1.695,0.54,46.773066,1.468,7.577,0.108007,0.289795,0.5348,-35.618533,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,2.9542425094393248,900,0.05197007333333333,6819.3,0.3727001062816602
1000,69.79,21.951,1.695,0.539,51.932021,1.477,6.87,0.110756,0.261751,0.5308,-39.305426,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,3.0,1000,0.051932021,6870.0,0.4231333475961979
3000,70.84,21.954,1.693,0.539,153.399556,1.912,2.385,0.195716,0.087684,0.5096,-42.9443,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,3.4771212547196626,3000,0.05113318533333333,7154.999999999999,2.232035125734162
6000,72.41,21.953,1.693,0.539,300.713833,1.756,1.168,0.156176,0.044163,0.5203,-46.663661,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,3.7781512503836434,6000,0.05011897216666667,7008.0,3.5362738882347613
9000,73.97,21.943,1.699,0.539,445.20173,1.78,0.791,0.162751,0.029653,0.5118,-50.45852,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,3.9542425094393248,9000,0.04946685888888889,7119.0,5.488332096850341
12000,75.54,21.942,1.699,0.539,587.657756,1.867,0.61,0.185718,0.022396,0.4977,-54.28187,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,4.079181246047625,12000,0.048971479666666665,7320.0,8.292092690985399
15000,77.11,21.958,1.69,0.539,725.376061,1.974,0.502,0.214441,0.01804,0.4844,-58.118648,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,4.176091259055681,15000,0.04835840406666667,7530.0,11.886314505847789
18000,78.68,21.988,1.673,0.539,851.511638,2.076,0.43,0.243491,0.015134,0.4704,-61.966819,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,4.2552725051033065,18000,0.047306202111111105,7740.0,16.087941856623722
21000,80.24,22.029,1.652,0.539,957.711231,2.171,0.381,0.270434,0.013058,0.4555,-65.827064,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,4.3222192947339195,21000,0.04560529671428572,8001.0,20.708630063557703
24000,81.81,22.079,1.641,0.539,1037.829747,1.622,0.345,0.15136,0.0115,0.44,-69.70268,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,4.380211241711606,24000,0.043242906125,8280.0,13.160594730892967
27000,83.38,22.136,1.65,0.539,1089.626127,1.888,0.318,0.202845,0.010287,0.4243,-73.596271,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,4.431363764158987,27000,0.040356523222222225,8586.0,19.716660186625198
30000,84.95,22.199,1.684,0.539,1114.387261,2.007,0.297,0.22394,0.009316,0.4085,-77.509358,Fe-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.15,0.2833333333333333,0.0,0.0,0.0,4.477121254719663,30000,0.03714624203333334,8910.0,24.035633787699908
100,69.36,21.947,1.701,0.508,5.226304,1.431,45.702,0.050414,2.77522,0.798,-5.965373,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.0,100,0.05226304,4570.2,0.018165760492587796
200,69.39,21.948,1.7,0.532,10.446397,1.423,27.454,0.069871,1.314568,0.6642,-9.726686,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.3010299956639813,200,0.052231984999999995,5490.8,0.05315126098363799
300,69.44,21.949,1.7,0.538,15.658481,1.401,19.712,0.077312,0.864616,0.6167,-13.445556,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.4771212547196626,300,0.052194936666666664,5913.6,0.08941762653290417
400,69.49,21.95,1.699,0.541,20.862536,1.426,15.625,0.088065,0.644425,0.5835,-17.15648,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.6020599913279625,400,0.052156339999999995,6250.0,0.13665649741009828
500,69.55,21.95,1.699,0.542,26.058634,1.445,12.914,0.09568,0.513746,0.5648,-20.857036,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.6989700043360187,500,0.052117268,6457.0,0.18623953035248866
600,69.6,21.95,1.699,0.543,31.246867,1.438,10.991,0.098117,0.42734,0.553,-24.551598,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.7781512503836434,600,0.05207811166666667,6594.599999999999,0.2295988449505196
700,69.65,21.951,1.699,0.543,36.427292,1.459,9.58,0.103966,0.366118,0.5438,-28.243426,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.845098040014257,700,0.05203898857142857,6706.0,0.2839677809673904
800,69.71,21.951,1.699,0.543,41.599946,1.476,8.499,0.108743,0.32058,0.5364,-31.933392,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.9030899869919438,800,0.051999932500000005,6799.200000000001,0.3392060040988082
900,69.76,21.951,1.698,0.542,46.764889,1.47,7.637,0.10976,0.285492,0.5306,-35.621873,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,2.9542425094393248,900,0.05196098777777777,6873.299999999999,0.38445776253708497
1000,69.81,21.951,1.698,0.541,51.922208,1.486,6.929,0.11372,0.257663,0.5263,-39.309124,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,3.0,1000,0.051922208,6929.0,0.4413499751614507
3000,70.87,21.955,1.696,0.541,153.331503,1.888,2.405,0.193231,0.08632,0.5055,-42.946994,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,3.4771212547196626,3000,0.051110501,7214.999999999999,2.238516699296811
6000,72.46,21.953,1.697,0.541,300.533617,1.748,1.172,0.155544,0.04348,0.5184,-46.667357,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,3.7781512503836434,6000,0.05008893616666667,7032.0,3.5772866309422504
9000,74.05,21.942,1.703,0.541,444.885379,1.777,0.793,0.162741,0.029197,0.5106,-50.463698,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,3.9542425094393248,9000,0.04943170877777778,7137.0,5.573703678334132
12000,75.64,21.943,1.703,0.541,587.163649,1.866,0.612,0.18611,0.022054,0.4966,-54.288538,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,4.079181246047625,12000,0.04893030408333333,7344.0,8.438449331217411
15000,77.23,21.959,1.694,0.541,724.639022,1.973,0.503,0.214787,0.017766,0.4834,-58.126608,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,4.176091259055681,15000,0.04830926813333333,7545.0,12.089097765520346
18000,78.82,21.99,1.676,0.541,850.431186,2.077,0.431,0.244261,0.014906,0.4695,-61.976218,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,4.2552725051033065,18000,0.047246177,7758.0,16.385657744683705
21000,80.41,22.032,1.656,0.541,956.16863,2.171,0.382,0.270818,0.012862,0.4546,-65.838692,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,4.3222192947339195,21000,0.04553183952380952,8022.0,21.054030941460002
24000,82.0,22.083,1.649,0.541,1035.722799,1.617,0.345,0.150614,0.011328,0.4392,-69.717222,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,4.380211241711606,24000,0.043155116624999997,8280.0,13.294553799982348
27000,83.59,22.141,1.662,0.541,1086.896951,1.883,0.318,0.201896,0.010134,0.4235,-73.61409,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,4.431363764158987,27000,0.04025544262962963,8586.0,19.92067094227923
30000,85.18,22.204,1.703,0.541,1111.032284,1.994,0.298,0.221205,0.009178,0.4077,-77.531375,Fe-0.1_Xx3-0.9,0.3,0.3,0.1,0.3,0.0,0.0,0.0,4.477121254719663,30000,0.03703440946666666,8940.0,24.099030395467917
100,71.22,21.123,2.449,2.238,3.963946,1.607,9.209,0.001277,0.081346,3.9602,-5.869553,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,100,0.03963946,920.9,0.015698181862883694
200,71.35,21.124,2.453,2.229,7.914026,1.545,3.571,0.000603,0.041037,5.1064,-9.327552,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3010299956639813,200,0.03957013,714.2,0.01469369852331985
300,71.5,21.124,2.454,2.182,11.846171,1.544,2.341,0.000574,0.028666,5.1937,-12.975738,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4771212547196626,300,0.03948723666666667,702.3000000000001,0.020023022988104787
400,71.66,21.124,2.456,2.14,15.760885,1.553,1.798,0.000618,0.022441,5.0699,-16.663971,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6020599913279625,400,0.0394022125,719.2,0.027537652615631403
500,71.83,21.125,2.457,2.105,19.658947,1.548,1.484,0.000667,0.018633,4.9139,-20.36797,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6989700043360187,500,0.039317894000000006,742.0,0.03579478372866802
600,71.99,21.125,2.458,2.074,23.541156,1.544,1.28,0.000724,0.01604,4.7495,-24.082804,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7781512503836434,600,0.03923526,768.0,0.04513434324543358
700,72.16,21.125,2.459,2.047,27.408212,1.55,1.133,0.000793,0.014159,4.5977,-27.802597,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.845098040014257,700,0.03915458857142857,793.1,0.056002824858757065
800,72.33,21.126,2.46,2.022,31.260694,1.554,1.02,0.000857,0.012741,4.4707,-31.523157,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9030899869919438,800,0.0390758675,816.0,0.06725788730183645
900,72.49,21.126,2.46,2.0,35.099085,1.549,0.927,0.000902,0.011609,4.3717,-35.24231,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9542425094393248,900,0.038998983333333334,834.3000000000001,0.07769164513350561
1000,72.66,21.126,2.461,1.98,38.923808,1.557,0.848,0.00095,0.010684,4.2998,-38.959043,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1000,0.038923808000000004,848.0,0.08890968647636874
3000,76.01,21.116,2.418,1.98,113.016192,2.257,0.262,0.001578,0.003615,4.6429,-42.285631,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4771212547196626,3000,0.037672064,786.0,0.4363938053097345
6000,81.03,21.103,2.348,1.98,216.075645,2.338,0.13,0.00158,0.001847,4.6846,-45.905339,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7781512503836434,6000,0.0360126075,780.0,0.8549783549783551
9000,86.05,21.092,2.285,1.98,309.647283,2.416,0.095,0.002054,0.001256,4.2739,-49.787938,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9542425094393248,9000,0.03440525366666667,855.0,1.634049323786794
12000,91.07,21.083,2.228,1.98,395.127355,2.507,0.079,0.002827,0.00096,3.8241,-53.782421,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.079181246047625,12000,0.03292727958333334,948.0,2.9417273673257025
15000,96.1,21.081,2.214,1.98,471.438491,2.606,0.07,0.003691,0.000782,3.4881,-57.835695,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.176091259055681,15000,0.03142923273333333,1050.0,4.713920817369092
18000,101.12,21.09,2.273,1.98,534.698628,2.699,0.062,0.004445,0.000663,3.2608,-61.930845,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.2552725051033065,18000,0.029705479333333333,1116.0,6.694277108433735
21000,106.14,21.111,2.395,1.98,581.057638,2.801,0.056,0.005089,0.000577,3.0939,-66.064395,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.3222192947339195,21000,0.027669411333333335,1176.0,8.804498269896193
24000,111.16,21.143,2.517,1.98,608.929908,1.624,0.051,0.001761,0.000513,2.9536,-70.227564,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.380211241711606,24000,0.0253720795,1224.0,3.4260700389105057
27000,116.18,21.184,2.521,1.98,619.246077,1.86,0.048,0.002336,0.000463,2.8243,-74.402337,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.431363764158987,27000,0.02293503988888889,1296.0,5.0344827586206895
30000,121.21,21.232,2.296,1.98,614.59491,2.093,0.045,0.00295,0.000422,2.7007,-78.568689,Fe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.477121254719663,30000,0.020486497,1350.0,6.9739952718676115
100,70.0,21.843,1.767,0.683,5.146281,1.788,16.22,0.008428,1.574168,2.2485,-5.593935,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.0,100,0.05146281,1622.0,0.005353935949697904
200,70.05,21.844,1.767,0.691,10.284981,1.828,11.945,0.021433,0.771396,1.5266,-9.456258,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.3010299956639813,200,0.051424905,2389.0,0.027784655631276762
300,70.11,21.844,1.767,0.695,15.414284,1.838,8.821,0.027061,0.50877,1.3781,-13.193399,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.4771212547196626,300,0.05138094666666667,2646.2999999999997,0.053188959276373855
400,70.18,21.844,1.767,0.699,20.534017,1.871,6.988,0.031507,0.378538,1.3047,-16.910754,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.6020599913279625,400,0.0513350425,2795.2000000000003,0.0832331675203876
500,70.24,21.844,1.767,0.701,25.644108,1.867,5.903,0.035211,0.301145,1.2356,-20.629009,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.6989700043360187,500,0.051288216,2951.5,0.11692335279233329
600,70.31,21.844,1.766,0.702,30.744647,1.829,5.164,0.037352,0.250173,1.1771,-24.345655,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.7781512503836434,600,0.051241078333333336,3098.3999999999996,0.14930408435728737
700,70.38,21.844,1.766,0.703,35.835834,1.813,4.598,0.0397,0.214344,1.133,-28.058749,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.845098040014257,700,0.05119404857142857,3218.6,0.18521542373276725
800,70.44,21.845,1.766,0.702,40.917933,1.817,4.143,0.042306,0.187989,1.1002,-31.768932,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.9030899869919438,800,0.051147416249999994,3314.3999999999996,0.22504388531304859
900,70.51,21.845,1.766,0.7,45.991281,1.822,3.77,0.044578,0.168007,1.0748,-35.477391,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,2.9542425094393248,900,0.05110142333333333,3393.0,0.265332603209371
1000,70.58,21.846,1.765,0.697,51.056284,1.813,3.46,0.045884,0.152334,1.0541,-39.185012,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,3.0,1000,0.051056284,3460.0,0.3012045820067614
3000,71.86,21.855,1.759,0.697,150.39952,2.128,1.35,0.084774,0.051085,0.9007,-42.977943,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,3.4771212547196626,3000,0.05013317333333333,4050.0000000000005,1.6594370277571155
6000,73.8,21.86,1.754,0.697,293.008929,2.051,0.744,0.092536,0.025769,0.8173,-46.732273,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,3.7781512503836434,6000,0.04883482150000001,4464.0,3.590842064415987
9000,75.73,21.855,1.759,0.697,430.426844,1.929,0.528,0.090333,0.017328,0.7671,-50.537699,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,3.9542425094393248,9000,0.04782520488888889,4752.0,5.212822436378325
12000,77.66,21.85,1.762,0.697,563.896831,1.922,0.412,0.094713,0.013106,0.7375,-54.373954,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,4.079181246047625,12000,0.046991402583333335,4944.0,7.226138704509042
15000,79.59,21.855,1.759,0.697,691.72375,1.981,0.341,0.10532,0.010571,0.7121,-58.231979,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,4.176091259055681,15000,0.046114916666666665,5115.0,9.962164207340143
18000,81.53,21.869,1.747,0.697,808.685212,2.058,0.295,0.118535,0.00888,0.686,-62.108238,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,4.2552725051033065,18000,0.044926956222222224,5310.0,13.347032991780205
21000,83.46,21.893,1.726,0.697,908.031861,2.137,0.263,0.132187,0.007671,0.6593,-66.000263,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,4.3222192947339195,21000,0.04323961242857143,5523.0,17.229796663190825
24000,85.39,21.925,1.694,0.697,984.526462,1.724,0.24,0.087831,0.006764,0.6325,-69.906538,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,4.380211241711606,24000,0.04102193591666667,5760.0,12.983148558758316
27000,87.32,21.963,1.654,0.697,1035.988445,1.975,0.223,0.116129,0.006057,0.6062,-73.826834,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,4.431363764158987,27000,0.038369942407407404,6021.0,19.169527896995707
30000,89.26,22.006,1.615,0.697,1063.152412,2.175,0.209,0.140374,0.005491,0.5804,-77.763958,Ni-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.0,0.05,0.0,0.0,4.477121254719663,30000,0.035438413733333333,6270.0,25.559723233794607
100,70.31,21.767,1.793,0.789,5.111915,2.259,17.954,0.016995,1.092123,2.0313,-5.715853,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,100,0.051119149999999995,1795.4,0.015561419765521133
200,70.37,21.767,1.793,0.775,10.215553,2.366,11.186,0.030817,0.565002,1.6301,-9.50877,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.3010299956639813,200,0.051077765,2237.2,0.05454307322262005
300,70.44,21.767,1.793,0.768,15.308729,2.344,8.222,0.037537,0.382971,1.4785,-13.249634,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.4771212547196626,300,0.05102909666666666,2466.6,0.09801499848552897
400,70.51,21.767,1.793,0.763,20.391497,2.35,6.371,0.040448,0.290914,1.4311,-16.961105,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.6020599913279625,400,0.0509787425,2548.4,0.1390371758073664
500,70.58,21.767,1.793,0.757,25.464248,2.35,5.168,0.04166,0.235748,1.4113,-20.664283,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.6989700043360187,500,0.050928496000000004,2584.0,0.17671336887961347
600,70.65,21.767,1.793,0.752,30.527482,2.339,4.354,0.042205,0.199374,1.3961,-24.367297,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.7781512503836434,600,0.050879136666666665,2612.4,0.21168652037617555
700,70.72,21.767,1.793,0.745,35.581773,2.343,3.776,0.043419,0.173878,1.3796,-28.072353,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.845098040014257,700,0.05083110428571428,2643.2,0.24970813036651923
800,70.78,21.767,1.792,0.736,40.62778,2.341,3.348,0.044534,0.155299,1.3617,-31.779425,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.9030899869919438,800,0.050784725,2678.4,0.2867611075338055
900,70.85,21.768,1.792,0.727,45.666227,2.351,3.016,0.046192,0.141299,1.3435,-35.487991,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2.9542425094393248,900,0.05074025222222222,2714.4,0.3269072894550601
1000,70.91,21.768,1.792,0.717,50.697864,2.343,2.751,0.047212,0.130405,1.3255,-39.197709,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,1000,0.050697864,2751.0,0.3620385565081361
3000,72.1,21.774,1.788,0.717,149.534367,1.96,1.084,0.04616,0.043711,1.1211,-43.0155,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3.4771212547196626,3000,0.049844789,3252.0,1.0560029282576866
6000,73.9,21.777,1.786,0.717,291.912322,1.983,0.607,0.0579,0.022035,1.0018,-46.777567,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3.7781512503836434,6000,0.04865205366666667,3642.0,2.6275186059175892
9000,75.69,21.772,1.789,0.717,429.388447,1.944,0.434,0.062642,0.014808,0.9345,-50.580789,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3.9542425094393248,9000,0.04770982744444444,3906.0,4.22999527314471
12000,77.48,21.768,1.792,0.717,563.132334,1.86,0.339,0.061233,0.011193,0.8963,-54.413284,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.079181246047625,12000,0.0469276945,4068.0000000000005,5.470162587100233
15000,79.28,21.772,1.789,0.717,691.560223,1.812,0.281,0.061229,0.009023,0.8642,-58.267264,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.176091259055681,15000,0.04610401486666666,4215.0,6.785128546099291
18000,81.07,21.784,1.781,0.717,809.599253,1.788,0.244,0.062642,0.007575,0.8314,-62.139321,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.2552725051033065,18000,0.04497773627777778,4392.0,8.268479408658923
21000,82.86,21.805,1.767,0.717,910.594791,1.778,0.217,0.06454,0.006541,0.798,-66.02729,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.3222192947339195,21000,0.04336165671428571,4557.0,9.86548456129624
24000,84.66,21.833,1.749,0.717,989.276065,2.301,0.199,0.111331,0.005764,0.7647,-69.930226,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.380211241711606,24000,0.041219836041666666,4776.0,19.31153512575889
27000,86.45,21.868,1.726,0.717,1043.309966,2.036,0.184,0.088589,0.00516,0.732,-73.84727,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.431363764158987,27000,0.03864110985185185,4968.0,17.16508428599109
30000,88.24,21.907,1.692,0.717,1073.216988,1.906,0.173,0.077974,0.004676,0.7001,-77.776939,Ni-0.0_Xx3-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.477121254719663,30000,0.0357738996,5190.0,16.671798161214454
100,69.58,21.957,1.668,0.642,5.187862,1.351,41.312,0.036774,1.778838,0.8828,-5.835955,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.0,100,0.05187862,4131.2,0.020673034490473845
200,69.63,21.956,1.668,0.661,10.369146,1.313,26.466,0.055246,0.848897,0.689,-9.635876,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.3010299956639813,200,0.05184573000000001,5293.2,0.06507966799309223
300,69.69,21.956,1.668,0.665,15.541751,1.327,19.444,0.067128,0.560644,0.6252,-13.379194,Ni-0.15_Xx3-0.85,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15,0.0,0.0,2.4771212547196626,300,0.05180583666666667,5833.2,0.11973352121217523
